,Date,Open
0,2021-01-29,14470.136
1,2021-01-30,14548.921
2,2021-01-31,14640.489
3,2021-02-01,14730.456
4,2021-02-02,14805.19
5,2021-02-03,14795.561
6,2021-02-04,14799.605
7,2021-02-05,14844.167
8,2021-02-06,14910.341
9,2021-02-07,14986.689
10,2021-02-08,15067.283
11,2021-02-09,15137.298
12,2021-02-10,15228.664
13,2021-02-11,15305.429
14,2021-02-12,15411.468
15,2021-02-13,15506.497
16,2021-02-14,15592.378
17,2021-02-15,15715.412
18,2021-02-16,15836.292
19,2021-02-17,16001.672
20,2021-02-18,16130.248
21,2021-02-19,16246.136
22,2021-02-20,16314.717
23,2021-02-21,16353.117
24,2021-02-22,16417.307
25,2021-02-23,16519.133
26,2021-02-24,16577.785
27,2021-02-25,16607.307
28,2021-02-26,16568.105
29,2021-02-27,16431.5
