,Date,Open
0,2021-01-29,13646.228
1,2021-01-30,13708.141
2,2021-01-31,13772.631
3,2021-02-01,13835.412
4,2021-02-02,13881.149
5,2021-02-03,13832.153
6,2021-02-04,13822.406
7,2021-02-05,13858.179
8,2021-02-06,13916.066
9,2021-02-07,13980.816
10,2021-02-08,14047.762
11,2021-02-09,14100.414
12,2021-02-10,14177.005
13,2021-02-11,14231.057
14,2021-02-12,14316.829
15,2021-02-13,14386.525
16,2021-02-14,14443.742
17,2021-02-15,14544.621
18,2021-02-16,14625.614
19,2021-02-17,14739.195
20,2021-02-18,14806.511
21,2021-02-19,14873.148
22,2021-02-20,14890.214
23,2021-02-21,14885.463
24,2021-02-22,14923.59
25,2021-02-23,15000.58
26,2021-02-24,15019.786
27,2021-02-25,15011.8125
28,2021-02-26,14944.167
29,2021-02-27,14785.394
