,Date,Open
0,2021-01-29,13788.588
1,2021-01-30,13855.67
2,2021-01-31,13937.096
3,2021-02-01,13994.577
4,2021-02-02,14034.522
5,2021-02-03,13987.27
6,2021-02-04,13967.406
7,2021-02-05,14007.031
8,2021-02-06,14062.428
9,2021-02-07,14125.641
10,2021-02-08,14169.526
11,2021-02-09,14215.32
12,2021-02-10,14282.665
13,2021-02-11,14357.366
14,2021-02-12,14444.585
15,2021-02-13,14511.329
16,2021-02-14,14578.49
17,2021-02-15,14671.5625
18,2021-02-16,14754.889
19,2021-02-17,14890.385
20,2021-02-18,14949.837
21,2021-02-19,15022.793
22,2021-02-20,15061.15
23,2021-02-21,15074.696
24,2021-02-22,15121.195
25,2021-02-23,15197.343
26,2021-02-24,15194.722
27,2021-02-25,15184.425
28,2021-02-26,15120.691
29,2021-02-27,14976.825
