,Date,Open
0,2021-01-29,14146.247
1,2021-01-30,14246.708
2,2021-01-31,14333.8545
3,2021-02-01,14402.637
4,2021-02-02,14417.786
5,2021-02-03,14287.516
6,2021-02-04,14237.906
7,2021-02-05,14275.641
8,2021-02-06,14363.784
9,2021-02-07,14461.542
10,2021-02-08,14561.256
11,2021-02-09,14675.643
12,2021-02-10,14826.885
13,2021-02-11,14939.798
14,2021-02-12,15025.404
15,2021-02-13,15104.994
16,2021-02-14,15178.288
17,2021-02-15,15329.311
18,2021-02-16,15461.233
19,2021-02-17,15605.994
20,2021-02-18,15683.739
21,2021-02-19,15739.309
22,2021-02-20,15729.584
23,2021-02-21,15692.05
24,2021-02-22,15701.304
25,2021-02-23,15800.271
26,2021-02-24,15824.604
27,2021-02-25,15807.073
28,2021-02-26,15720.063
29,2021-02-27,15471.004
