,Date,bert_scores,Open,High,Low,Close,Adj Close,Volume,windowSize_2,windowSize_3,week_1,week_2
2023,2012-08-07,0.5,5295.399902,5350.100098,5281.649902,5336.700195,5336.700195,0.0,0.4166666666666666,0.2777777777777777,0.07568027210884352,0.07956091527520098
2022,2012-08-08,0.3333333333333333,5345.25,5377.600098,5331.049805,5338.0,5338.0,0.0,0.16666666666666666,-0.031746031746031744,0.05619975262832407,0.02241805813234385
2021,2012-08-09,0.0,5348.299805,5368.200195,5312.100098,5322.950195,5322.950195,0.0,-0.21428571428571427,-0.19047619047619047,0.062152133580705024,0.012894248608534328
2020,2012-08-10,-0.42857142857142855,5308.200195,5330.100098,5294.100098,5320.399902,5320.399902,0.0,-0.2857142857142857,-0.1488095238095238,0.03358070500927645,0.005751391465677184
2019,2012-08-13,-0.14285714285714285,5316.350098,5352.450195,5309.049805,5347.899902,5347.899902,0.0,-0.008928571428571425,0.04166666666666666,0.16623376623376626,0.04285714285714287
2018,2012-08-14,0.125,5343.25,5387.049805,5328.799805,5380.350098,5380.350098,0.0,0.13392857142857142,0.21049783549783552,0.1736549165120594,0.04007421150278293
2017,2012-08-16,0.14285714285714285,5385.950195,5390.649902,5356.649902,5362.950195,5362.950195,0.0,0.2532467532467533,0.29383116883116883,0.10384972170686456,-0.0013218923933209542
2016,2012-08-17,0.3636363636363637,5368.600098,5399.950195,5341.700195,5366.299805,5366.299805,0.0,0.3693181818181819,0.1795454545454546,0.08344155844155847,-0.004383116883116868
2015,2012-08-21,0.375,5368.700195,5425.149902,5368.700195,5421.0,5421.0,0.0,0.0875,0.225,-0.011363636363636371,-0.0017857142857142874
2014,2012-08-22,-0.2,5395.75,5433.350098,5394.799805,5412.850098,5412.850098,0.0,0.15,0.06969696969696969,-0.036363636363636376,-0.014285714285714287
2013,2012-08-23,0.5,5426.149902,5448.600098,5393.850098,5415.350098,5415.350098,0.0,0.20454545454545453,0.015151515151515119,-0.022077922077922092,0.008928571428571433
2012,2012-08-24,-0.09090909090909093,5392.600098,5399.649902,5371.0,5386.700195,5386.700195,0.0,-0.2272727272727273,-0.15151515151515155,-0.08051948051948052,-0.018849206349206348
2011,2012-08-27,-0.3636363636363637,5387.850098,5399.149902,5346.649902,5350.25,5350.25,0.0,-0.18181818181818185,-0.2212121212121212,-0.09350649350649352,0.016215728715728718
2010,2012-08-28,0.0,,,,,,,-0.15,-0.033333333333333326,-0.10649350649350647,0.05012626262626263
2009,2012-08-29,-0.3,5343.850098,5345.5,5282.700195,5287.799805,5287.799805,0.0,-0.04999999999999999,-0.06666666666666668,-0.0922077922077922,0.0786976911976912
2008,2012-08-30,0.2,5268.600098,5342.799805,5255.049805,5315.049805,5315.049805,0.0,0.05,0.06363636363636364,0.007792207792207796,0.12393578643578645
2007,2012-08-31,-0.1,5298.200195,5303.25,5238.899902,5258.5,5258.5,0.0,-0.00454545454545454,-0.06363636363636364,0.0077922077922078035,0.11758658008658007
2006,2012-09-03,0.09090909090909093,5276.5,5295.799805,5243.149902,5253.75,5253.75,0.0,-0.04545454545454546,-0.1818181818181818,0.039935064935064934,0.09615800865800864
2005,2012-09-04,-0.18181818181818185,5249.149902,5278.350098,5233.200195,5274.0,5274.0,0.0,-0.3181818181818182,-0.1787878787878788,0.042821067821067815,0.10914502164502164
2004,2012-09-05,-0.4545454545454545,5243.899902,5259.5,5215.700195,5225.700195,5225.700195,0.0,-0.17727272727272725,0.015151515151515174,0.12593795093795096,0.1007034632034632
2003,2012-09-06,0.1,5217.649902,5260.600098,5217.649902,5238.399902,5238.399902,0.0,0.25,0.2333333333333333,0.20674603174603176,0.13317099567099572
2002,2012-09-07,0.4,5309.450195,5347.149902,5309.200195,5342.100098,5342.100098,0.0,0.30000000000000004,0.2416666666666667,0.2496031746031746,0.1390151515151515
2001,2012-09-08,0.2,,,,,,,0.1625,0.14537037037037034,0.2400793650793651,0.13187229437229436
2000,2012-09-10,0.125,5361.899902,5375.450195,5349.100098,5363.450195,5363.450195,0.0,0.11805555555555555,0.21203703703703705,0.2273809523809524,0.1390151515151515
1999,2012-09-11,0.1111111111111111,5336.100098,5393.350098,5332.100098,5390.0,5390.0,0.0,0.25555555555555554,0.2074074074074074,0.15238095238095234,0.13658008658008655
1998,2012-09-12,0.4,5404.450195,5435.549805,5393.950195,5431.0,5431.0,0.0,0.25555555555555554,0.3037037037037037,0.17546897546897547,0.13658008658008658
1997,2012-09-13,0.1111111111111111,5435.200195,5447.450195,5421.850098,5435.350098,5435.350098,0.0,0.25555555555555554,0.28148148148148144,0.07546897546897546,0.10007215007215008
1996,2012-09-14,0.4,5528.350098,5586.649902,5526.950195,5577.649902,5577.649902,0.0,0.3666666666666667,0.2814814814814815,0.05959595959595961,0.07427849927849928
1995,2012-09-17,0.3333333333333333,5631.75,5652.200195,5585.149902,5610.0,5610.0,0.0,0.2222222222222222,0.0148148148148148,0.028427128427128426,0.024278499278499267
