,Date
0,08/07/12
1,08/08/12
2,08/09/12
3,08/10/12
4,08/13/12
5,08/14/12
6,08/16/12
7,08/17/12
8,08/21/12
9,08/22/12
10,08/23/12
11,08/24/12
12,08/27/12
13,08/28/12
14,08/29/12
15,08/30/12
16,08/31/12
17,09/03/12
18,09/04/12
19,09/05/12
20,09/06/12
21,09/07/12
22,09/08/12
23,09/10/12
24,09/11/12
25,09/12/12
26,09/13/12
27,09/14/12
28,09/17/12
29,09/18/12
30,09/20/12
31,09/21/12
32,09/24/12
33,09/25/12
34,09/26/12
35,09/27/12
36,09/28/12
37,10/01/12
38,10/03/12
39,10/04/12
40,10/05/12
41,10/08/12
42,10/09/12
43,10/10/12
44,10/11/12
45,10/12/12
46,10/15/12
47,10/16/12
48,10/17/12
49,10/18/12
50,10/19/12
51,10/22/12
52,10/23/12
53,10/25/12
54,10/29/12
55,10/30/12
56,10/31/12
57,11/01/12
58,11/02/12
59,11/05/12
60,11/06/12
61,11/07/12
62,11/08/12
63,11/09/12
64,11/11/12
65,11/12/12
66,11/15/12
67,11/16/12
68,11/19/12
69,11/20/12
70,11/21/12
71,11/22/12
72,11/23/12
73,11/26/12
74,11/27/12
75,11/29/12
76,11/30/12
77,12/03/12
78,12/04/12
79,12/05/12
80,12/06/12
81,12/07/12
82,12/10/12
83,12/11/12
84,12/12/12
85,12/13/12
86,12/14/12
87,12/17/12
88,12/18/12
89,12/19/12
90,12/20/12
91,12/21/12
92,12/24/12
93,12/26/12
94,12/27/12
95,12/28/12
96,12/31/12
97,01/01/13
98,01/02/13
99,01/03/13
100,01/04/13
101,01/07/13
102,01/08/13
103,01/09/13
104,01/10/13
105,01/11/13
106,01/14/13
107,01/15/13
108,01/16/13
109,01/17/13
110,01/18/13
111,01/21/13
112,01/22/13
113,01/23/13
114,01/24/13
115,01/25/13
116,01/28/13
117,01/29/13
118,01/30/13
119,01/31/13
120,02/01/13
121,02/04/13
122,02/05/13
123,02/06/13
124,02/07/13
125,02/08/13
126,02/11/13
127,02/12/13
128,02/13/13
129,02/14/13
130,02/15/13
131,02/18/13
132,02/19/13
133,02/20/13
134,02/21/13
135,02/22/13
136,02/25/13
137,02/26/13
138,02/27/13
139,02/28/13
140,03/01/13
141,03/04/13
142,03/05/13
143,03/06/13
144,03/07/13
145,03/08/13
